Puss in Boots: The Last Wish,2022,动画/喜剧/爱情/悬疑/歌舞/奇幻/冒险,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8022/穿靴子的猫2-2022_蓝光国英双语中英双字.mp4
Sonic the Hedgehog 2,2022,喜剧/动作/科幻/冒险/动画,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/6687/猬索尼克2-2022_蓝光国英双语中英双字.mp4
Black Panther: Wakanda Forever,2022,动作/科幻/冒险/剧情,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7085/黑豹2-2022_BD国语中英双字.mp4
Drishyam 2,2022,剧情/犯罪,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/0817/误杀瞒天记2-2022_BD中英双字.mp4
一秒钟,2020,剧情,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9739/一秒钟-2020_蓝光国语中字.mp4
&#44277;&#51312;2:&#51064;&#53552;&#45236;&#49492;&#45216;,2022,动作,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1247/共助2：国际-2022_BD韩语中字.mp4
Raya and The Last Dragon,2021,动画/奇幻/冒险,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/3870/寻龙传说-2021_蓝光国英双语双字.mp4
扫黑行动,2022,动作/犯罪,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9333/扫黑行动-2022_HD国语中字.mp4
Glass Onion: A Knives Out Mystery,2022,喜剧/悬疑/惊悚/犯罪/剧情,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/2844/利刃出鞘2-2022_BD中英双字.mp4
万里归途,2022,剧情/战争,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/2821/万里归途-2022_HD国语中字.mp4
熊出没&middot;重返地球,2022,动画/喜剧/儿童,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8776/熊出没・重返地球-2022_BD国语中字.mp4
明日�鹩�,2022,动作/科幻,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7133/明日战记-2022_HD粤语中字.mp4
哥，你好,2022,喜剧/奇幻/剧情,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1542/哥，你好-2022_HD国语中字.mp4
Black Adam,2022,动作/科幻/奇幻/冒险,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/2759/黑亚当-2022_BD中英双字.mp4
平凡英雄,2022,剧情,,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8321/平凡英雄-2022_HD国语中字.mp4
